feature,mean_abs_shap
defo_rate_150m_d3_wanom_Lag2,9.829997e-05
defo_rate_1500m_d1_wanom_Lag4,9.768481e-05
sm_std_d3_wanom_Lag2,7.746023e-05
et_wanom_Lag1,6.631241e-05
sm_surface_d3_wanom_Lag2,6.004718e-05
sm_surface_d1_Lag2,5.0503655e-05
sm_std_d1_Lag3,2.7078655e-05
precip_mean_d1_Lag4,2.6537447e-05
et_d3_wmean,2.353599e-05
precip_total_d1_Lag4,1.5362499e-05
price_cocoa_d1_wanom_Lag1,0.0
price_cocoa_d1_wanom_Lag4,0.0
price_cocoa_d3_wanom_Lag1,0.0
defo_rate_500m_Lag3,0.0
defo_rate_500m_Lag2,0.0
price_cocoa_d1_wanom_Lag2,0.0
precip_max_wanom_Lag4,0.0
defo_rate_500m_Lag4,0.0
price_cocoa_d3_wmean,0.0
price_cocoa_d1_wanom_Lag3,0.0
precip_max_wanom_Lag3,0.0
price_cocoa_d1_wmean,0.0
price_cocoa_d1_wtrend,0.0
precip_total_d1_wanom_Lag4,0.0
precip_total_wanom_Lag4,0.0
precip_total_d1_wtrend,0.0
price_gold_wmean,0.0
precip_total_wanom_Lag3,0.0
precip_total_wtrend,0.0
defo_rate_150m_d3_Lag2,0.0
precip_mean_d1_wanom_Lag4,0.0
price_cocoa_wmean,0.0
precip_mean_wanom_Lag3,0.0
price_cocoa_wtrend,0.0
price_cocoa_wanom_Lag1,0.0
price_cocoa_wanom_Lag2,0.0
price_cocoa_wanom_Lag3,0.0
price_cocoa_wanom_Lag4,0.0
precip_mean_d1_wtrend,0.0
precip_mean_wanom_Lag4,0.0
price_cocoa_d3_wanom_Lag2,0.0
price_palmoil_d1_wtrend,0.0
price_gold_wtrend,0.0
defo_rate_1500m_Lag3,0.0
cum_deforested_d3_Lag1,0.0
temperature_2m_wtrend,0.0
cum_deforested_d3_Lag2,0.0
sm_surface_d3_wanom_Lag1,0.0
cum_loss_before,0.0
sm_surface_d1_wanom_Lag2,0.0
sm_surface_d1_wtrend,0.0
price_gold_wanom_Lag1,0.0
defo_rate_1500m_Lag4,0.0
sm_surface_wanom_Lag4,0.0
defo_rate_1500m_d1_Lag3,0.0
sm_surface_wtrend,0.0
sm_surface_wmean,0.0
defo_rate_1500m_d3_Lag1,0.0
cum_deforested_d1_Lag4,0.0
cum_deforested_d1_Lag3,0.0
temperature_2m_d1_wmean,0.0
cum_deforested_d1_Lag2,0.0
temperature_2m_d3_wmean,0.0
cum_deforested_Lag4,0.0
temperature_2m_max_wanom_Lag2,0.0
cum_deforested_Lag3,0.0
temperature_2m_max_wanom_Lag4,0.0
temperature_2m_max_d1_wmean,0.0
country_UGA,0.0
country_TCD,0.0
country_SSD,0.0
country_SDN,0.0
temperature_2m_max_d1_wanom_Lag4,0.0
